instance_name,algo_type,source,target,k,vertices,edges,vertices_preprocess,edges_preprocess,path_count,avg_length,ms, ms_preprocess,diversity, diversity_uw, div_min, div_max, min_uw, max_uw
wikivote.txt.gz,Diverse,2907,61,10,7115,103689,58,113,58,4.0,19,16,296.0,296.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,2907,61,10,7115,103689,58,113,58,4.0,16,16,250.0,250.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1457,3028,10,7115,103689,33,71,40,3.0,19,18,254.0,254.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,1457,3028,10,7115,103689,33,71,40,3.0,18,18,210.0,210.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,6923,183,10,7115,103689,30,51,41,5.0,15,15,384.0,384.0,4.0,10.0,4.0,10.0
wikivote.txt.gz,KBest,6923,183,10,7115,103689,30,51,41,5.0,15,15,316.0,316.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,4040,2426,10,7115,103689,27,59,34,3.0,15,15,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,4040,2426,10,7115,103689,27,59,34,3.0,15,15,250.0,250.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,580,1636,10,7115,103689,35,80,54,4.0,18,17,346.0,346.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,580,1636,10,7115,103689,35,80,54,4.0,17,17,304.0,304.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,3142,7618,10,7115,103689,36,73,39,3.0,19,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,3142,7618,10,7115,103689,36,73,39,3.0,18,18,258.0,258.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2356,6458,10,7115,103689,46,116,72,3.0,16,14,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,2356,6458,10,7115,103689,46,116,72,3.0,14,14,254.0,254.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2701,5162,10,7115,103689,29,59,32,3.0,17,17,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,2701,5162,10,7115,103689,29,59,32,3.0,17,17,254.0,254.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,3151,2638,10,7115,103689,51,98,50,5.0,16,14,346.0,346.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,3151,2638,10,7115,103689,51,98,50,5.0,14,14,284.0,284.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,4098,974,10,7115,103689,30,61,33,3.0,18,18,246.0,246.0,0.0,6.0,0.0,6.0
wikivote.txt.gz,KBest,4098,974,10,7115,103689,30,61,33,3.0,18,18,232.0,232.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1252,2825,10,7115,103689,33,75,44,4.0,19,18,320.0,320.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,1252,2825,10,7115,103689,33,75,44,4.0,18,18,264.0,264.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,4654,1901,10,7115,103689,56,117,63,4.0,18,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,4654,1901,10,7115,103689,56,117,63,4.0,16,16,246.0,246.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,6158,3293,10,7115,103689,30,62,34,4.0,16,15,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,6158,3293,10,7115,103689,30,62,34,4.0,15,15,256.0,256.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5746,6756,10,7115,103689,51,106,57,5.0,19,17,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,5746,6756,10,7115,103689,51,106,57,5.0,17,17,244.0,244.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5980,959,10,7115,103689,46,104,61,4.0,16,14,332.0,332.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,5980,959,10,7115,103689,46,104,61,4.0,14,14,304.0,304.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,7565,2479,10,7115,103689,43,98,82,5.0,16,15,350.0,350.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,7565,2479,10,7115,103689,43,98,82,5.0,15,15,324.0,324.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,749,2968,10,7115,103689,47,112,67,3.0,18,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,749,2968,10,7115,103689,47,112,67,3.0,16,16,256.0,256.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1921,3520,10,7115,103689,29,57,30,4.0,18,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,1921,3520,10,7115,103689,29,57,30,4.0,18,18,258.0,258.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,4446,55,10,7115,103689,58,108,52,4.0,17,15,276.0,276.0,0.0,8.0,0.0,8.0
wikivote.txt.gz,KBest,4446,55,10,7115,103689,58,108,52,4.0,15,15,180.0,180.0,4.0,4.0,4.0,4.0
wikivote.txt.gz,Diverse,585,4199,10,7115,103689,53,123,72,4.0,18,15,320.0,320.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,585,4199,10,7115,103689,53,123,72,4.0,15,15,254.0,254.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,3836,3284,10,7115,103689,31,64,35,4.0,19,18,270.0,270.0,6.0,6.0,6.0,6.0
