Instance_Name,Algo_Type,Source,Target,k,#V,#E,#V_stPaths,#E_stPaths,#stPaths,Avg_stPath_Length,Milliseconds, PrepMillisec,Diversity, UnweightedDiv, MinDiv, MaxDiv, MinUnw, MaxUnw
wikivote.txt.gz,KBest,7728,2160,10,7115,103689,34,64,32,5.0,18,18,234.0,234.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2129,1473,10,7115,103689,55,138,85,3.0,20,15,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,2129,1473,10,7115,103689,55,138,85,3.0,15,15,244.0,244.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1967,705,10,7115,103689,41,83,53,4.0,20,18,358.0,358.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,1967,705,10,7115,103689,41,83,53,4.0,18,18,314.0,314.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1615,4466,10,7115,103689,37,75,40,3.0,20,18,268.0,268.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,1615,4466,10,7115,103689,37,75,40,3.0,18,18,248.0,248.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,38,5596,10,7115,103689,110,297,243,4.0,36,18,360.0,360.0,8.0,8.0,8.0,8.0
wikivote.txt.gz,KBest,38,5596,10,7115,103689,110,297,243,4.0,18,18,306.0,306.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,3667,7434,10,7115,103689,33,75,49,4.0,18,16,326.0,326.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,3667,7434,10,7115,103689,33,75,49,4.0,16,16,290.0,290.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,6656,1542,10,7115,103689,30,57,31,5.0,16,15,340.0,340.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,6656,1542,10,7115,103689,30,57,31,5.0,15,15,316.0,316.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,4326,356,10,7115,103689,67,123,58,4.0,22,15,312.0,312.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,4326,356,10,7115,103689,67,123,58,4.0,15,15,300.0,300.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,2693,7879,10,7115,103689,64,144,82,3.0,22,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,2693,7879,10,7115,103689,64,144,82,3.0,16,16,248.0,248.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5504,1425,10,7115,103689,94,209,144,5.0,27,17,360.0,360.0,8.0,8.0,8.0,8.0
wikivote.txt.gz,KBest,5504,1425,10,7115,103689,94,209,144,5.0,17,17,312.0,312.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1400,6613,10,7115,103689,48,105,59,5.0,21,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,1400,6613,10,7115,103689,48,105,59,5.0,18,18,258.0,258.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1201,4530,10,7115,103689,33,72,41,3.0,19,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,1201,4530,10,7115,103689,33,72,41,3.0,18,18,260.0,260.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5770,6,10,7115,103689,75,177,194,5.0,25,16,420.0,420.0,8.0,10.0,8.0,10.0
wikivote.txt.gz,KBest,5770,6,10,7115,103689,75,177,194,5.0,16,16,350.0,350.0,4.0,10.0,4.0,10.0
wikivote.txt.gz,Diverse,1292,3486,10,7115,103689,79,241,171,4.0,29,17,350.0,350.0,6.0,8.0,6.0,8.0
