Instance_Name,Algo_Type,Source,Target,k,#V,#E,#V_stPaths,#E_stPaths,#stPaths,Avg_stPath_Length,Milliseconds,Diversity
slashdot.txt.gz,KBest,19601,25981,10,82168,870161,81,149,72,4.0,524,322.0
slashdot.txt.gz,Diverse,79795,76169,10,82168,870161,43,78,37,6.0,627,270.0
slashdot.txt.gz,KBest,79795,76169,10,82168,870161,43,78,37,6.0,596,254.0
slashdot.txt.gz,Diverse,22332,63688,10,82168,870161,101,252,153,5.0,596,320.0
slashdot.txt.gz,KBest,22332,63688,10,82168,870161,101,252,153,5.0,580,292.0
slashdot.txt.gz,Diverse,73669,43255,10,82168,870161,44,82,40,5.0,569,328.0
slashdot.txt.gz,KBest,73669,43255,10,82168,870161,44,82,40,5.0,565,312.0
slashdot.txt.gz,Diverse,46151,32522,10,82168,870161,272,562,292,5.0,627,270.0
slashdot.txt.gz,KBest,46151,32522,10,82168,870161,272,562,292,5.0,547,244.0
slashdot.txt.gz,Diverse,45445,2489,10,82168,870161,65,129,66,4.0,537,262.0
slashdot.txt.gz,KBest,45445,2489,10,82168,870161,65,129,66,4.0,531,246.0
slashdot.txt.gz,Diverse,55831,16682,10,82168,870161,120,235,117,5.0,593,352.0
slashdot.txt.gz,KBest,55831,16682,10,82168,870161,120,235,117,5.0,581,330.0
